timestamp,rainfall,visibility,temperature,storm_alert_level
2026-05-18 00:00:00,18.3,3.9,23.1,2
2026-05-18 01:00:00,0.0,9.3,16.7,0
2026-05-18 02:00:00,0.0,8.9,29.3,0
2026-05-18 03:00:00,0.0,8.5,22.5,0
2026-05-18 04:00:00,22.9,2.8,19.5,2
2026-05-18 05:00:00,0.0,9.2,17.3,0
2026-05-18 06:00:00,0.0,9.1,26.7,0
2026-05-18 07:00:00,0.0,8.0,19.9,0
2026-05-18 08:00:00,23.3,2.8,27.5,2
2026-05-18 09:00:00,0.0,8.1,28.2,0
2026-05-18 10:00:00,0.0,8.2,22.3,0
2026-05-18 11:00:00,19.3,3.7,16.9,2
2026-05-18 12:00:00,0.0,9.1,19.0,0
2026-05-18 13:00:00,0.0,8.8,18.2,0
2026-05-18 14:00:00,0.0,9.5,18.0,0
2026-05-18 15:00:00,0.0,10.0,24.7,0
2026-05-18 16:00:00,0.0,9.0,16.8,0
2026-05-18 17:00:00,0.0,8.7,23.8,0
2026-05-18 18:00:00,0.0,8.4,16.1,0
2026-05-18 19:00:00,0.0,8.5,28.6,0
2026-05-18 20:00:00,0.0,8.1,18.6,0
2026-05-18 21:00:00,0.0,8.4,17.0,0
2026-05-18 22:00:00,0.0,9.1,22.1,0
2026-05-18 23:00:00,0.0,9.6,17.9,0
2026-05-19 00:00:00,11.3,5.4,22.0,1
2026-05-19 01:00:00,0.0,9.3,29.8,0
2026-05-19 02:00:00,10.7,5.5,27.9,1
2026-05-19 03:00:00,0.0,8.4,21.7,0
2026-05-19 04:00:00,0.0,8.6,18.7,0
2026-05-19 05:00:00,0.0,8.9,27.9,0
2026-05-19 06:00:00,0.0,8.1,30.0,0
2026-05-19 07:00:00,0.0,9.9,28.9,0
2026-05-19 08:00:00,0.0,8.3,22.3,0
2026-05-19 09:00:00,0.0,8.8,15.9,0
2026-05-19 10:00:00,0.0,10.0,19.0,0
2026-05-19 11:00:00,0.0,8.9,21.3,0
2026-05-19 12:00:00,0.0,10.0,23.3,0
2026-05-19 13:00:00,0.0,8.3,19.5,0
2026-05-19 14:00:00,0.0,9.2,23.1,0
2026-05-19 15:00:00,0.0,8.1,23.8,0
2026-05-19 16:00:00,0.0,9.7,17.4,0
2026-05-19 17:00:00,0.0,8.2,17.8,0
2026-05-19 18:00:00,0.0,9.4,18.5,0
2026-05-19 19:00:00,22.4,1.8,23.9,2
2026-05-19 20:00:00,0.0,8.8,23.8,0
2026-05-19 21:00:00,0.0,9.9,18.1,0
2026-05-19 22:00:00,0.0,8.5,20.9,0
2026-05-19 23:00:00,0.0,8.6,19.7,0
2026-05-20 00:00:00,0.0,8.1,21.9,0
2026-05-20 01:00:00,0.0,10.0,16.1,0
2026-05-20 02:00:00,0.0,8.5,29.0,0
2026-05-20 03:00:00,0.0,9.8,20.5,0
2026-05-20 04:00:00,21.0,3.1,24.2,2
2026-05-20 05:00:00,0.0,9.3,15.1,0
2026-05-20 06:00:00,0.0,8.6,25.0,0
2026-05-20 07:00:00,0.0,8.3,16.7,0
2026-05-20 08:00:00,14.3,4.2,24.1,1
2026-05-20 09:00:00,0.0,8.4,24.5,0
2026-05-20 10:00:00,0.0,9.0,28.6,0
2026-05-20 11:00:00,0.0,8.2,21.4,0
2026-05-20 12:00:00,0.0,8.0,26.6,0
2026-05-20 13:00:00,0.0,8.5,26.1,0
2026-05-20 14:00:00,0.0,8.9,15.1,0
2026-05-20 15:00:00,22.2,3.1,23.2,2
2026-05-20 16:00:00,0.0,9.2,17.2,0
2026-05-20 17:00:00,8.4,7.3,26.9,1
2026-05-20 18:00:00,0.0,9.8,18.2,0
2026-05-20 19:00:00,0.0,8.2,26.7,0
2026-05-20 20:00:00,0.0,8.8,24.3,0
2026-05-20 21:00:00,23.3,2.7,29.6,2
2026-05-20 22:00:00,0.0,9.8,15.4,0
2026-05-20 23:00:00,0.0,8.7,29.0,0
2026-05-21 00:00:00,0.0,9.7,27.2,0
2026-05-21 01:00:00,0.0,9.6,16.6,0
2026-05-21 02:00:00,0.0,9.7,18.3,0
2026-05-21 03:00:00,0.0,8.9,19.6,0
2026-05-21 04:00:00,0.0,8.5,15.4,0
2026-05-21 05:00:00,8.9,7.0,29.5,1
2026-05-21 06:00:00,0.0,9.3,21.0,0
2026-05-21 07:00:00,0.0,9.1,29.1,0
2026-05-21 08:00:00,24.3,1.1,29.4,2
2026-05-21 09:00:00,0.0,8.2,21.5,0
2026-05-21 10:00:00,0.0,8.6,24.1,0
2026-05-21 11:00:00,0.0,8.8,23.6,0
2026-05-21 12:00:00,0.0,9.4,15.0,0
2026-05-21 13:00:00,0.0,9.1,25.8,0
2026-05-21 14:00:00,0.0,9.3,20.5,0
2026-05-21 15:00:00,16.9,3.6,19.7,2
2026-05-21 16:00:00,0.0,9.4,19.5,0
2026-05-21 17:00:00,0.0,8.8,21.0,0
2026-05-21 18:00:00,0.0,8.3,21.3,0
2026-05-21 19:00:00,0.0,9.4,28.5,0
2026-05-21 20:00:00,0.0,8.6,23.2,0
2026-05-21 21:00:00,7.9,6.5,23.7,1
2026-05-21 22:00:00,0.0,8.9,21.6,0
2026-05-21 23:00:00,0.0,8.9,28.5,0
2026-05-22 00:00:00,0.0,8.3,16.3,0
2026-05-22 01:00:00,0.0,9.3,20.0,0
2026-05-22 02:00:00,0.0,9.5,25.1,0
2026-05-22 03:00:00,0.0,8.4,15.4,0
2026-05-22 04:00:00,0.0,9.0,27.7,0
2026-05-22 05:00:00,10.9,6.0,17.9,1
2026-05-22 06:00:00,0.0,9.0,18.7,0
2026-05-22 07:00:00,0.0,8.0,26.3,0
2026-05-22 08:00:00,0.0,8.2,21.4,0
2026-05-22 09:00:00,24.0,1.8,15.8,2
2026-05-22 10:00:00,0.0,9.7,21.8,0
2026-05-22 11:00:00,0.0,9.3,29.8,0
2026-05-22 12:00:00,0.0,9.9,28.4,0
2026-05-22 13:00:00,0.0,9.4,22.6,0
2026-05-22 14:00:00,0.0,9.1,28.5,0
2026-05-22 15:00:00,0.0,8.9,18.9,0
2026-05-22 16:00:00,0.0,9.3,26.5,0
2026-05-22 17:00:00,0.0,9.3,19.1,0
2026-05-22 18:00:00,7.9,6.1,19.8,1
2026-05-22 19:00:00,0.0,8.3,18.5,0
2026-05-22 20:00:00,0.0,9.4,16.0,0
2026-05-22 21:00:00,0.0,9.1,21.2,0
2026-05-22 22:00:00,0.0,8.8,28.6,0
2026-05-22 23:00:00,0.0,9.4,27.9,0
2026-05-23 00:00:00,0.0,8.8,15.1,0
