ambulance_id,timestamp,latitude,longitude,current_speed,route_segment_id
AMB_016,2026-05-23 21:08:50,40.75894056850356,-73.98513140676883,49.1,SEG_043
AMB_016,2026-05-23 21:09:50,40.763043694670955,-73.98351252207547,46.2,SEG_043
AMB_016,2026-05-23 21:10:50,40.7666787104525,-73.98192499439673,39.1,SEG_043
AMB_016,2026-05-23 21:11:50,40.77077491388214,-73.97985637253419,35.6,SEG_041
AMB_016,2026-05-23 21:12:50,40.77477113131272,-73.97817098898241,40.4,SEG_041
AMB_016,2026-05-23 21:13:50,40.77854367565403,-73.97657098232877,36.3,SEG_041
AMB_016,2026-05-23 21:14:50,40.782435157839046,-73.97477947718794,41.8,SEG_025
AMB_016,2026-05-23 21:15:50,,,47.0,SEG_001
AMB_016,2026-05-23 21:16:50,40.79027616883469,-73.97139755705082,41.4,SEG_025
AMB_016,2026-05-23 21:17:50,40.79443593894609,-73.96961025825203,44.1,SEG_038
AMB_016,2026-05-23 21:18:50,40.7983342174622,-73.96809091716214,38.0,SEG_038
AMB_016,2026-05-23 21:19:50,40.80209303715182,-73.96628738938519,43.6,SEG_038
AMB_016,2026-05-23 21:20:50,40.80596814166981,-73.96480962666863,47.2,SEG_038
AMB_016,2026-05-23 21:21:50,40.80994933512309,-73.96299023172921,41.2,SEG_047
AMB_016,2026-05-23 21:22:50,40.813728244634405,-73.96112446894483,42.2,SEG_047
AMB_016,2026-05-23 21:23:50,40.81779426168181,-73.95947014402414,44.4,SEG_047
AMB_016,2026-05-23 21:24:50,40.82162283059501,-73.95777962951833,40.2,SEG_020
AMB_016,2026-05-23 21:25:14,40.825624772775704,-73.95600452283156,49.9,SEG_020
AMB_011,2026-05-23 22:44:58,40.78294496997655,-73.96525600037441,44.6,SEG_025
AMB_011,2026-05-23 22:45:58,40.779312113218374,-73.96281544447021,42.1,SEG_008
AMB_011,2026-05-23 22:46:58,40.77575240724179,-73.96018794690973,39.6,SEG_018
AMB_011,2026-05-23 22:47:58,40.77228389192942,-73.95762181567754,43.0,SEG_018
AMB_011,2026-05-23 22:48:58,40.768884169160856,-73.95497609607179,43.8,SEG_018
AMB_011,2026-05-23 22:49:58,40.76533778739403,-73.95242574579962,38.6,SEG_018
AMB_011,2026-05-23 22:50:58,40.76185987635849,-73.95000758790697,44.9,SEG_018
AMB_011,2026-05-23 22:51:58,40.75832353055932,-73.9475145700229,39.0,SEG_018
AMB_011,2026-05-23 22:52:58,40.75492431468508,-73.94467184328546,51.1,SEG_018
AMB_011,2026-05-23 22:53:58,40.7512546146266,-73.94224965876522,47.1,SEG_018
AMB_011,2026-05-23 22:54:58,40.74805271083581,-73.93964031470257,49.5,SEG_018
AMB_011,2026-05-23 22:55:58,,,43.6,SEG_001
AMB_011,2026-05-23 22:56:58,40.74072442379368,-73.93461849286159,55.6,SEG_029
AMB_011,2026-05-23 22:57:58,40.7372997845556,-73.93181254177942,40.7,SEG_029
AMB_011,2026-05-23 22:58:58,40.73384618150763,-73.92931485790484,56.2,SEG_029
AMB_011,2026-05-23 22:59:58,40.73030677971793,-73.92666794706378,48.0,SEG_029
AMB_011,2026-05-23 23:00:58,40.72692407428981,-73.92426933160921,38.4,SEG_029
AMB_011,2026-05-23 23:01:58,40.723405839223574,-73.92147637321,37.6,SEG_029
AMB_011,2026-05-23 23:02:58,40.71993404038347,-73.91908277128746,44.1,SEG_029
AMB_011,2026-05-23 23:03:58,40.71636748153099,-73.91639801888553,48.7,SEG_036
AMB_011,2026-05-23 23:04:58,40.712969898071435,-73.91384868118544,42.3,SEG_036
AMB_011,2026-05-23 23:05:28,40.70926175089608,-73.91110227950139,53.6,SEG_036
AMB_004,2026-05-20 23:43:30,40.80692753767012,-73.95690906972438,56.6,SEG_008
AMB_004,2026-05-20 23:44:30,40.80736292032185,-73.95913013483205,41.5,SEG_008
AMB_004,2026-05-20 23:45:30,40.808223581611735,-73.96133527184507,53.8,SEG_008
AMB_004,2026-05-20 23:46:30,40.80876041546375,-73.96368978367877,51.7,SEG_047
AMB_004,2026-05-20 23:47:30,40.809755341222655,-73.96572538705188,43.3,SEG_047
AMB_004,2026-05-20 23:48:30,40.81026090880197,-73.9679617777212,50.2,SEG_047
AMB_004,2026-05-20 23:49:30,40.81105846040985,-73.9700469161887,56.3,SEG_047
AMB_004,2026-05-20 23:50:30,40.811830641095455,-73.97239508036303,44.1,SEG_047
AMB_004,2026-05-20 23:51:30,40.81244351317754,-73.97464228205897,48.2,SEG_047
AMB_004,2026-05-20 23:52:30,40.81303579140445,-73.9770365957523,45.0,SEG_047
