timestamp,road_segment_id,congestion_level,average_vehicle_speed,accident_reports,road_closure_status
2026-05-18 00:00:00,SEG_001,Low,46.8,1,Open
2026-05-18 00:00:00,SEG_002,High,20.2,0,Open
2026-05-18 00:00:00,SEG_003,Low,53.7,0,Open
2026-05-18 00:00:00,SEG_004,Low,45.5,0,Open
2026-05-18 00:00:00,SEG_005,Low,45.7,0,Open
2026-05-18 00:00:00,SEG_006,Low,48.0,0,Open
2026-05-18 00:00:00,SEG_007,Medium,37.0,0,Open
2026-05-18 00:00:00,SEG_008,Low,53.6,0,Open
2026-05-18 00:00:00,SEG_009,Medium,36.7,0,Open
2026-05-18 00:00:00,SEG_010,Medium,32.6,0,Open
2026-05-18 00:00:00,SEG_011,Low,50.9,0,Open
2026-05-18 00:00:00,SEG_012,Medium,34.7,0,Open
2026-05-18 00:00:00,SEG_013,Medium,36.1,0,Open
2026-05-18 00:00:00,SEG_014,Medium,37.9,0,Open
2026-05-18 00:00:00,SEG_015,Low,52.5,0,Open
2026-05-18 00:00:00,SEG_016,Medium,36.4,0,Open
2026-05-18 00:00:00,SEG_017,Low,45.4,0,Open
2026-05-18 00:00:00,SEG_018,Low,54.6,0,Open
2026-05-18 00:00:00,SEG_019,Severe,10.3,0,Open
2026-05-18 00:00:00,SEG_020,Low,51.5,0,Open
2026-05-18 00:00:00,SEG_021,Medium,34.9,0,Open
2026-05-18 00:00:00,SEG_022,Medium,37.5,0,Open
2026-05-18 00:00:00,SEG_023,High,21.3,0,Open
2026-05-18 00:00:00,SEG_024,Low,54.7,0,Open
2026-05-18 00:00:00,SEG_025,Medium,35.3,0,Open
2026-05-18 00:00:00,SEG_026,Medium,35.9,0,Open
2026-05-18 00:00:00,SEG_027,High,19.8,0,Open
2026-05-18 00:00:00,SEG_028,Medium,33.2,0,Open
2026-05-18 00:00:00,SEG_029,Low,54.9,0,Open
2026-05-18 00:00:00,SEG_030,Medium,35.0,0,Open
2026-05-18 00:00:00,SEG_031,Medium,38.4,0,Open
2026-05-18 00:00:00,SEG_032,High,20.0,0,Open
2026-05-18 00:00:00,SEG_033,Medium,34.4,0,Open
2026-05-18 00:00:00,SEG_034,Low,48.0,0,Open
2026-05-18 00:00:00,SEG_035,Low,50.4,0,Open
2026-05-18 00:00:00,SEG_036,Low,48.2,0,Open
2026-05-18 00:00:00,SEG_037,Low,52.8,0,Open
2026-05-18 00:00:00,SEG_038,Medium,34.2,0,Open
2026-05-18 00:00:00,SEG_039,Low,45.4,0,Open
2026-05-18 00:00:00,SEG_040,Medium,34.6,0,Open
2026-05-18 00:00:00,SEG_041,Low,51.5,0,Open
2026-05-18 00:00:00,SEG_042,Low,51.9,0,Open
2026-05-18 00:00:00,SEG_043,Medium,34.2,0,Open
2026-05-18 00:00:00,SEG_044,Medium,31.8,0,Open
2026-05-18 00:00:00,SEG_045,Severe,10.5,0,Open
2026-05-18 00:00:00,SEG_046,Medium,34.6,0,Open
2026-05-18 00:00:00,SEG_047,Medium,33.6,0,Open
2026-05-18 00:00:00,SEG_048,Low,52.9,0,Open
2026-05-18 00:00:00,SEG_049,Medium,33.2,0,Open
2026-05-18 00:00:00,SEG_050,Low,47.6,1,Open
2026-05-18 01:00:00,SEG_001,Medium,32.6,0,Open
2026-05-18 01:00:00,SEG_002,Medium,34.5,0,Open
2026-05-18 01:00:00,SEG_003,Low,49.8,0,Open
2026-05-18 01:00:00,SEG_004,Severe,9.6,0,Open
2026-05-18 01:00:00,SEG_005,Low,51.9,0,Open
2026-05-18 01:00:00,SEG_006,Low,54.0,0,Open
2026-05-18 01:00:00,SEG_007,Low,51.4,0,Open
2026-05-18 01:00:00,SEG_008,Medium,37.4,0,Open
2026-05-18 01:00:00,SEG_009,Low,49.4,0,Open
2026-05-18 01:00:00,SEG_010,Low,52.5,0,Open
2026-05-18 01:00:00,SEG_011,High,20.1,0,Open
2026-05-18 01:00:00,SEG_012,Medium,34.9,0,Open
2026-05-18 01:00:00,SEG_013,Low,54.6,0,Open
2026-05-18 01:00:00,SEG_014,Medium,38.4,0,Open
2026-05-18 01:00:00,SEG_015,Medium,31.6,0,Open
2026-05-18 01:00:00,SEG_016,Medium,35.6,0,Open
2026-05-18 01:00:00,SEG_017,Low,45.3,0,Open
2026-05-18 01:00:00,SEG_018,Low,45.6,0,Open
